i	mooneys	solution	labelsEn	labelsNl
240	img/tt/403tt.jpg	img/gs/403gs.jpg	butterfly	vlinder
241	img/tt/404tt.jpg	img/gs/404gs.jpg	camel, dromedary	kameel, dromedaris
242	img/tt/405tt.jpg	img/gs/405gs.jpg	bear, koala, koala bear	beer, koalabeer, koala
243	img/tt/406tt.jpg	img/gs/406gs.jpg	bat	vleermuis
244	img/tt/407tt.jpg	img/gs/407gs.jpg	penguins	pinguïns
245	img/tt/408tt.jpg	img/gs/408gs.jpg	gun, rifle, revolver, firearm, weapon, six-shooter, pistol, handgun	geweer, wapen, vuurwapen, pistool, handgeweer, revolver
246	img/tt/409tt.jpg	img/gs/409gs.jpg	teapot, kettle, pot	ketel, theepot 
247	img/tt/410tt.jpg	img/gs/410gs.jpg	owl	uil
248	img/tt/411tt.jpg	img/gs/411gs.jpg	dog, hound	hond, dalmatiër
249	img/tt/412tt.jpg	img/gs/412gs.jpg	binoculars	verrekijker
250	img/tt/414tt.jpg	img/gs/414gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, jachtluipaard, luipaard, poema, cheetah, tijger, leeuw, lynx, panter, katachtige
251	img/tt/416tt.jpg	img/gs/416gs.jpg	ostrich, emu, bird	struisvogel, emoe, vogel
252	img/tt/417tt.jpg	img/gs/417gs.jpg	crab, crab fish, lobster, crayfish, crustacean, crawfish	krab, kreeft, schaaldier, rivierkreeft
253	img/tt/418tt.jpg	img/gs/418gs.jpg	tomato, tomatoes	tomaat, tomaten
254	img/tt/419tt.jpg	img/gs/419gs.jpg	raccoon, racoon, bear	wasbeer
255	img/tt/420tt.jpg	img/gs/420gs.jpg	dog, hound	hond
256	img/tt/423tt.jpg	img/gs/423gs.jpg	raccoon, racoon, bear	wasbeer
257	img/tt/424tt.jpg	img/gs/424gs.jpg	bat	vleermuis
258	img/tt/425tt.jpg	img/gs/425gs.jpg	duck, goose, fowl, swan	eend, gans
259	img/tt/426tt.jpg	img/gs/426gs.jpg	owl, owls	uil, uilen
260	img/tt/427tt.jpg	img/gs/427gs.jpg	canoe, kayak, boat, river, kayaker	kano, kajak, boot, rivier, kajakker
261	img/tt/429tt.jpg	img/gs/429gs.jpg	backback, bag, schoolbag	rugzak, boekentas, zak
262	img/tt/430tt.jpg	img/gs/430gs.jpg	reindeer, deer, moose, elk, wapiti, muntjac, chital, antlers	rendier, hert, eland, elk, wapiti, gewei
263	img/tt/433tt.jpg	img/gs/433gs.jpg	penguin	pinguïn, pinguïns
264	img/tt/434tt.jpg	img/gs/434gs.jpg	ewer, can, jug, pitcher, vessel, urn, carafe, decanter, bottle	kan, fles, karaf, kruik, urn, vaas
265	img/tt/435tt.jpg	img/gs/435gs.jpg	billiards, snooker, cue sports, pool	snooker, biljart, pool
266	img/tt/436tt.jpg	img/gs/436gs.jpg	iguana, iguanadon, lizard	hagedis, leguaan
267	img/tt/437tt.jpg	img/gs/437gs.jpg	elephant	olifant
268	img/tt/438tt.jpg	img/gs/438gs.jpg	snake, python, mamba, cobra, serpent	slang, cobra, python, serpent
269	img/tt/439tt.jpg	img/gs/439gs.jpg	basketball, ring, basket, hoop, backboard	basketring, basketbalring, basketbal, ring, bord
270	img/tt/440tt.jpg	img/gs/440gs.jpg	camel, dromedary	kameel, dromedaris
271	img/tt/442tt.jpg	img/gs/442gs.jpg	cactus	cactus
272	img/tt/447tt.jpg	img/gs/447gs.jpg	ostrich, emu, bird	struisvogel, emoe, vogel
273	img/tt/448tt.jpg	img/gs/448gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel, bidsprinkhaan
274	img/tt/452tt.jpg	img/gs/452gs.jpg	girl, woman, child	vrouw, meisje, kind
275	img/tt/454tt.jpg	img/gs/454gs.jpg	crab, crab fish, lobster, crayfish, crustacean, crawfish	krab, kreeft, schaaldier, rivierkreeft
276	img/tt/456tt.jpg	img/gs/456gs.jpg	bear, arctic bear, polar bear	ijsbeer, beer
277	img/tt/457tt.jpg	img/gs/457gs.jpg	penguin	pinguïn
278	img/tt/458tt.jpg	img/gs/458gs.jpg	wheelbarrow	kruiwagen
279	img/tt/459tt.jpg	img/gs/459gs.jpg	raccoon, racoon, bear	wasbeer
280	img/tt/460tt.jpg	img/gs/460gs.jpg	pocket knife, knife	zakmes, mes
281	img/tt/462tt.jpg	img/gs/462gs.jpg	centipede, millipede	duizendpoot, miljoenpoot
282	img/tt/463tt.jpg	img/gs/463gs.jpg	hawksbill, tortoise, turtle, sea turtle	schildpad, zeeschildpad
283	img/tt/464tt.jpg	img/gs/464gs.jpg	bear, arctic bear, polar bear	ijsbeer, beer
284	img/tt/465tt.jpg	img/gs/465gs.jpg	butterfly	vlinder
285	img/tt/466tt.jpg	img/gs/466gs.jpg	skier, skiing, ski	skiër, skiën
286	img/tt/468tt.jpg	img/gs/468gs.jpg	violin, cello	viool, cello, strijkinstrument
287	img/tt/469tt.jpg	img/gs/469gs.jpg	elephant	olifant
288	img/tt/470tt.jpg	img/gs/470gs.jpg	duck, goose, fowl, swan	eend, gans, vogel
289	img/tt/472tt.jpg	img/gs/472gs.jpg	hawksbill, tortoise, turtle, sea turtle	schildpad, zeeschildpad
290	img/tt/475tt.jpg	img/gs/475gs.jpg	headphone, earphone, ear	hoofdtelefoon, koptelefoon
291	img/tt/477tt.jpg	img/gs/477gs.jpg	fish, goldfish, bowl	vis, viskom, goudvis, visbokaal
292	img/tt/479tt.jpg	img/gs/479gs.jpg	canoe, kayak, boat, river, kayaker	boot, kajak, roeiboot, rivier, meer, kano
293	img/tt/480tt.jpg	img/gs/480gs.jpg	ladybug, lady beetle, ladybird	lieveheersbeestje, vlieg, kever
294	img/tt/481tt.jpg	img/gs/481gs.jpg	dog, dogs, hound	hond, honden
295	img/tt/486tt.jpg	img/gs/486gs.jpg	chipmunk, squirrel	eekhoorn
296	img/tt/487tt.jpg	img/gs/487gs.jpg	dog, greyhound, hound	hond, windhond
297	img/tt/488tt.jpg	img/gs/488gs.jpg	dragonfly	libel, waterjuffer
298	img/tt/489tt.jpg	img/gs/489gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly beer
299	img/tt/491tt.jpg	img/gs/491gs.jpg	orange, oranges	appelsien, sinaasappel, pompelmoes, 
300	img/tt/492tt.jpg	img/gs/492gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, luipaard, panter, tijger, lynx, poema, jachtluipaard, 
301	img/tt/494tt.jpg	img/gs/494gs.jpg	penguin	pinguïn, pinguïns
302	img/tt/495tt.jpg	img/gs/495gs.jpg	elephant	olifant
303	img/tt/496tt.jpg	img/gs/496gs.jpg	dog, pug, puppy	hond, mopshond, pug
304	img/tt/497tt.jpg	img/gs/497gs.jpg	stove, fire, cooking, plate	stoof, gasvuur, vuur, fornuis, kookplaat
305	img/tt/503tt.jpg	img/gs/503gs.jpg	giraffe	giraf
306	img/tt/504tt.jpg	img/gs/504gs.jpg	cat, pussy, feline	kat, kitten, poes
307	img/tt/505tt.jpg	img/gs/505gs.jpg	owl	uil
308	img/tt/506tt.jpg	img/gs/506gs.jpg	centipede, millipede	duizendpoot, miljoenpoot
309	img/tt/507tt.jpg	img/gs/507gs.jpg	woman, dancer, dancing, lady, superwoman	vrouw, danseres, superheldin
310	img/tt/510tt.jpg	img/gs/510gs.jpg	flower, hibiscus	bloem, hibiscus
311	img/tt/511tt.jpg	img/gs/511gs.jpg	jellyfish, sea jelly	kwal
312	img/tt/512tt.jpg	img/gs/512gs.jpg	centipede, millipede	duizendpoot, miljoenpoot
313	img/tt/513tt.jpg	img/gs/513gs.jpg	chair, seat, stool, rocking chair	schommelstoel, stoel
314	img/tt/515tt.jpg	img/gs/515gs.jpg	bird, sparrow	vogel, mus
315	img/tt/516tt.jpg	img/gs/516gs.jpg	gun, rifle, shotgun, firearm, weapon	geweer, vuurwapen, wapen, jachtgeweer
316	img/tt/517tt.jpg	img/gs/517gs.jpg	raccoon, racoon, bear	wasbeer, rode panda
317	img/tt/518tt.jpg	img/gs/518gs.jpg	skateboard, skate, shoe	skateboard, schoen
318	img/tt/519tt.jpg	img/gs/519gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, luipaard, panter, tijger, lynx, poema, jachtluipaard, 
319	img/tt/520tt.jpg	img/gs/520gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, luipaard, panter, tijger, lynx, poema, jachtluipaard, 
320	img/tt/522tt.jpg	img/gs/522gs.jpg	cat, pussy, feline	kat, kitten, poes
321	img/tt/523tt.jpg	img/gs/523gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly beer, beren
322	img/tt/524tt.jpg	img/gs/524gs.jpg	ostrich, emu, bird	struisvogel, emoe
323	img/tt/525tt.jpg	img/gs/525gs.jpg	chair, seat, stool	stoel
324	img/tt/526tt.jpg	img/gs/526gs.jpg	watermelon, melon	watermeloen, meloen
325	img/tt/527tt.jpg	img/gs/527gs.jpg	motorcycle, motor, motorbike, bike	motor, motorfiets, scooter
326	img/tt/529tt.jpg	img/gs/529gs.jpg	paperclips, gem clips, clips, paper fastener	paperclip, papierklem
327	img/tt/530tt.jpg	img/gs/530gs.jpg	kolibri, bird, hummingbird,	kolibrie, vogel
328	img/tt/532tt.jpg	img/gs/532gs.jpg	hamburger, burger, cheeseburger	hamburger, burger, cheesburger
329	img/tt/533tt.jpg	img/gs/533gs.jpg	pens, pen	pen, pennen, stift, bic, vulpen
330	img/tt/534tt.jpg	img/gs/534gs.jpg	cactus	cactus
331	img/tt/536tt.jpg	img/gs/536gs.jpg	duck, goose, fowl, swan	gans, ganzen, eend, eenden, zwaan
332	img/tt/537tt.jpg	img/gs/537gs.jpg	anchor	anker
333	img/tt/539tt.jpg	img/gs/539gs.jpg	orca, whale, killer whale, dolphin	walvis, orka, dolfijn
334	img/tt/540tt.jpg	img/gs/540gs.jpg	man, farmer, field, worker, planting, sowing	boer, man, planten, zaaien, veld
335	img/tt/541tt.jpg	img/gs/541gs.jpg	bird, sparrow	vogel, mus
336	img/tt/544tt.jpg	img/gs/544gs.jpg	elephant	olifant
337	img/tt/545tt.jpg	img/gs/545gs.jpg	wheelbarrow	kruiwagen
338	img/tt/546tt.jpg	img/gs/546gs.jpg	wheelchair	rolstoel
339	img/tt/548tt.jpg	img/gs/548gs.jpg	dog, dalmatian, dalmatian dog	hond, dalmatiër
340	img/tt/549tt.jpg	img/gs/549gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel, bidsprinkhaan
341	img/tt/550tt.jpg	img/gs/550gs.jpg	mussels	oesters, mosselen
342	img/tt/551tt.jpg	img/gs/551gs.jpg	centipede, millipede	duizendpoot, miljoenpoot
343	img/tt/552tt.jpg	img/gs/552gs.jpg	skunk, badger, stink	stinkdier, das
344	img/tt/553tt.jpg	img/gs/553gs.jpg	snake, python, mamba, cobra, serpent	slang, cobra, python, serpent, adder
345	img/tt/554tt.jpg	img/gs/554gs.jpg	boat, ship, sailboat, sails, schooner, skiff, bateau, yacht	boot, schip, zeilboot, jacht
346	img/tt/556tt.jpg	img/gs/556gs.jpg	frog, toad, bullfrog	kikker, pad
347	img/tt/558tt.jpg	img/gs/558gs.jpg	flamingo, flamingos	flamingo
348	img/tt/559tt.jpg	img/gs/559gs.jpg	sewing machine, sewing, stitching machine, stitcher, sewer	naaimachine, naaien, stikmachine, stikken
349	img/tt/562tt.jpg	img/gs/562gs.jpg	pepper, paprika, red pepper, bell pepper, sweet pepper	paprika
350	img/tt/563tt.jpg	img/gs/563gs.jpg	ostrich, emu, bird	emoe, struisvogel
351	img/tt/565tt.jpg	img/gs/565gs.jpg	cards, playing cards, deck of cards, deck	speelkaarten, kaarten, dek, goocheltruc, kaartentruc
352	img/tt/567tt.jpg	img/gs/567gs.jpg	toaster, toast	broodrooster, toast
353	img/tt/568tt.jpg	img/gs/568gs.jpg	piano, grand piano, keyboard	piano, vleugelpiano
354	img/tt/569tt.jpg	img/gs/569gs.jpg	basketball, ring, basket, hoop, backboard	basketring, basketbalring, basketbal, ring, bord
355	img/tt/571tt.jpg	img/gs/571gs.jpg	buddha, statue, buddha statue	boeddha, beeld,standbeeld
356	img/tt/572tt.jpg	img/gs/572gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, luipaard, panter, tijger, lynx, poema, jachtluipaard, 
357	img/tt/573tt.jpg	img/gs/573gs.jpg	rabbit, hare	konijn, haas
358	img/tt/575tt.jpg	img/gs/575gs.jpg	kangaroo, wallaby, wallaroo	kangoeroe, wallaby
359	img/tt/578tt.jpg	img/gs/578gs.jpg	fern, ferns, plant, fern plant	varen, varens, plant, struik
360	img/tt/579tt.jpg	img/gs/579gs.jpg	tipi, teepee, wigwam, tent, indian tent	tipi, wigwam, tent
361	img/tt/580tt.jpg	img/gs/580gs.jpg	raccoon, racoon, bear	wasbeer, wasberen
362	img/tt/582tt.jpg	img/gs/582gs.jpg	goat, buck	geit, ram, bok
363	img/tt/583tt.jpg	img/gs/583gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel, bidsprinkhaan
364	img/tt/584tt.jpg	img/gs/584gs.jpg	pliers, stripping tool, pincer, tool	knijptang, plooitang, tang, gereedschap
365	img/tt/585tt.jpg	img/gs/585gs.jpg	canoe, kayak, boat, river, kayakers	kajak, kano, boot, rivier
366	img/tt/586tt.jpg	img/gs/586gs.jpg	dragonfly	libel, waterjuffer
367	img/tt/588tt.jpg	img/gs/588gs.jpg	duck, goose, fowl, swan, ibis	gans, eend
368	img/tt/590tt.jpg	img/gs/590gs.jpg	cannon, artillery, mortar, battery, gunnery, weapon	kanon, wapen, artillerie
369	img/tt/592tt.jpg	img/gs/592gs.jpg	ostrich, emu, bird	struisvogel, emoe
370	img/tt/593tt.jpg	img/gs/593gs.jpg	billiards, snooker, cue sports, pool	snooker, biljart, pool, ouderen, bomma
371	img/tt/594tt.jpg	img/gs/594gs.jpg	mushroom, fungi, fungus	paddestoel, champignon, zwam
372	img/tt/595tt.jpg	img/gs/595gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzlybeer
373	img/tt/596tt.jpg	img/gs/596gs.jpg	penguin	pinguïn
374	img/tt/597tt.jpg	img/gs/597gs.jpg	iguana, iguanadon, lizard, bearded dragon	leguaan, hagedis, baardagaam, agaam
375	img/tt/598tt.jpg	img/gs/598gs.jpg	snail, slug	slak, huisjesslak
376	img/tt/599tt.jpg	img/gs/599gs.jpg	owl, owls	uil, uilen
377	img/tt/600tt.jpg	img/gs/600gs.jpg	stapler	nietjesmachine, nietmachine
378	img/tt/601tt.jpg	img/gs/601gs.jpg	tipi, teepee, wigwam, tent, indian tent	tipi, wigwam, tent, indianentent
379	img/tt/603tt.jpg	img/gs/603gs.jpg	cat, pussy, feline	kat, kitten, poes
380	img/tt/1001tt.jpg	img/gs/1001gs.jpg	donut, donuts, sweets, pastries	donut, donuts, koffiekoeken, gebakjes
381	img/tt/1002tt.jpg	img/gs/1002gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzlybeer
382	img/tt/1003tt.jpg	img/gs/1003gs.jpg	hotdog, hotdogs	hotdog, hotdogs, broodje
383	img/tt/1004tt.jpg	img/gs/1004gs.jpg	elephant, elephants	olifant, olifanten
384	img/tt/1005tt.jpg	img/gs/1005gs.jpg	rugby, rugby players, rugby match, rugby game, match, game	rugby, rugbyspelers
385	img/tt/1006tt.jpg	img/gs/1006gs.jpg	sheep, lamb, ram	schaap, schapen, ram, bok
386	img/tt/1007tt.jpg	img/gs/1007gs.jpg	plane, airplane, aeroplane, propeller plane, seaplane	vliegtuig, vliegmachine, watervliegtuig
387	img/tt/1008tt.jpg	img/gs/1008gs.jpg	hotdog, hotdogs, beans	hotdog, hotdogs, broodje
388	img/tt/1009tt.jpg	img/gs/1009gs.jpg	grill, barbecue, bbq, hotdog, hotdogs, sausages, burger, burgers, hamburgers, buns	barbecue, bbq, hamburgers, hotdogs, worsten, grillen
389	img/tt/1010tt.jpg	img/gs/1010gs.jpg	motorcycle, motor, motorbike, bike	motor, motorfiets, scooter
390	img/tt/1011tt.jpg	img/gs/1011gs.jpg	surfer, surfing, surf, surfboard	surfen, surfer, surfboard
391	img/tt/1012tt.jpg	img/gs/1012gs.jpg	horse, horses	paard, paarden, pony
392	img/tt/1013tt.jpg	img/gs/1013gs.jpg	sheep, lamb, ram	schaap, schapen, ram, lammetje
393	img/tt/1014tt.jpg	img/gs/1014gs.jpg	cat, pussy, feline	kat, kitten, poes
394	img/tt/1015tt.jpg	img/gs/1015gs.jpg	tennis, tennis player, tennis racket, racket	tennis, tennisser, tennisspeler, tennisracket
395	img/tt/1016tt.jpg	img/gs/1016gs.jpg	baseball, baseball player, catcher, baseball game	baseball, honkbal, softball, baseballspelers, honk
396	img/tt/1017tt.jpg	img/gs/1017gs.jpg	broccoli, brocolli	broccoli
397	img/tt/1018tt.jpg	img/gs/1018gs.jpg	baseball, baseball players, baseball game, catcher, batter	baseball, honkbal, softball, baseballspelers, honk
398	img/tt/1019tt.jpg	img/gs/1019gs.jpg	motorcycle, motor, motorbike, bike	motor, motorfiets, scooter
399	img/tt/1020tt.jpg	img/gs/1020gs.jpg	football, american football, football players, football game	rugby, rugbyspelers, american football, football
400	img/tt/1021tt.jpg	img/gs/1021gs.jpg	truck, forest	vrachtwagen, truck, bos, bosweg
401	img/tt/1022tt.jpg	img/gs/1022gs.jpg	zebra, zebras	zebra, zebra's
402	img/tt/1023tt.jpg	img/gs/1023gs.jpg	pizza	pizza
403	img/tt/1024tt.jpg	img/gs/1024gs.jpg	tennis, tennis player, tennis racket, racket	tennis, tennisser, tennisspeler, tennisspeelster, tennisracket
404	img/tt/1025tt.jpg	img/gs/1025gs.jpg	basketball, basketball game, basketball players	basketbal, basketbalspelers, basket
405	img/tt/1026tt.jpg	img/gs/1026gs.jpg	soccer, football, soccer game, soccer players, football players	voetbal, voetballers, shotten
406	img/tt/1027tt.jpg	img/gs/1027gs.jpg	cow, cows, bovine, bovines	koe, koeien, rund
407	img/tt/1028tt.jpg	img/gs/1028gs.jpg	broccoli, brocolli	broccoli
408	img/tt/1029tt.jpg	img/gs/1029gs.jpg	basball player, baseball, baseball bat	baseball, honkbal, softball, baseballspeler
409	img/tt/1030tt.jpg	img/gs/1030gs.jpg	donut, donuts, sweets, pastries	donut, donuts, koffiekoeken, gebakjes
410	img/tt/1031tt.jpg	img/gs/1031gs.jpg	frisbee, ultimate frisbee, frisbee game	frisbee, ultimate frisbee
411	img/tt/1032tt.jpg	img/gs/1032gs.jpg	hotdog, fries, chips	hotdog, friet, frietjes
412	img/tt/1033tt.jpg	img/gs/1033gs.jpg	baseball, baseball players, baseball game, catcher, batter	baseball, honkbal, softball, baseballspelers, honk
413	img/tt/1034tt.jpg	img/gs/1034gs.jpg	train, platform	trein, station
414	img/tt/1035tt.jpg	img/gs/1035gs.jpg	baseball, baseball players, baseball game, catcher, batter	baseball, honkbal, softball, baseballspelers, honk
415	img/tt/1036tt.jpg	img/gs/1036gs.jpg	frisbee, ultimate frisbee, frisbee game	frisbee, ultimate frisbee
416	img/tt/1037tt.jpg	img/gs/1037gs.jpg	dog, hound	hond
417	img/tt/1038tt.jpg	img/gs/1038gs.jpg	plane, airplane, aeroplane, propeller plane	vliegtuig, vliegmachine
418	img/tt/1039tt.jpg	img/gs/1039gs.jpg	bagel, bagels	bagel, bagels, donuts
419	img/tt/1040tt.jpg	img/gs/1040gs.jpg	ski, skiing, skier, cross country skiiing	skiër, skiën
420	img/tt/1041tt.jpg	img/gs/1041gs.jpg	car, cars	auto, auto's, straat
421	img/tt/1042tt.jpg	img/gs/1042gs.jpg	tennis, tennis player, tennis racket, racket	tennis, tennisser, tennisspeelster, tennisracket 
422	img/tt/1043tt.jpg	img/gs/1043gs.jpg	hotdog, hotdogs	hotdog, hotdogs, broodje
423	img/tt/1044tt.jpg	img/gs/1044gs.jpg	giraffe	giraf
424	img/tt/1045tt.jpg	img/gs/1045gs.jpg	soccer, football, soccer game, soccer players, football players	voetbal, voetballers, shotten
425	img/tt/1046tt.jpg	img/gs/1046gs.jpg	pizza	pizza
426	img/tt/1047tt.jpg	img/gs/1047gs.jpg	skateboard, skateboarder, bus	skateboard, skateboarder, bus
427	img/tt/1048tt.jpg	img/gs/1048gs.jpg	snowboard, snowboarder	snowboard, snowboarder
428	img/tt/1049tt.jpg	img/gs/1049gs.jpg	dog, dogs, pug, pugs	hond, honden, pug, pugs, mopshond, mopshonden
429	img/tt/1050tt.jpg	img/gs/1050gs.jpg	bicycle, bike, fire hydrant	fiets, brandkraan
430	img/tt/1051tt.jpg	img/gs/1051gs.jpg	zebra	zebra
431	img/tt/1052tt.jpg	img/gs/1052gs.jpg	zebra, zebras	zebra, zebras
432	img/tt/1053tt.jpg	img/gs/1053gs.jpg	cow, cows, bovine, bovines	koe, koeien, kalf, rund, runderen
433	img/tt/1054tt.jpg	img/gs/1054gs.jpg	elephant	olifant
434	img/tt/1055tt.jpg	img/gs/1055gs.jpg	surfer, surfing, surf, surfboard	surfen, surfer, surfboard
435	img/tt/1056tt.jpg	img/gs/1056gs.jpg	cow, cows, bovine, bovines	koe, koeien, rund, runderen
436	img/tt/1057tt.jpg	img/gs/1057gs.jpg	giraffe, giraffes	giraf, giraffen
437	img/tt/1058tt.jpg	img/gs/1058gs.jpg	cupcakes, chocolate cupcakes, sweets	cupcakes, cakejes, chocolade cupcakes, gebakjes
438	img/tt/1059tt.jpg	img/gs/1059gs.jpg	giraffe, giraffes	giraf, giraffen
439	img/tt/1060tt.jpg	img/gs/1060gs.jpg	snowboard, snowboarder	snowboard, snowboarder
440	img/tt/1061tt.jpg	img/gs/1061gs.jpg	frisbee, ultimate frisbee, frisbee game	frisbee, ultimate frisbee
441	img/tt/1062tt.jpg	img/gs/1062gs.jpg	truck, pickup truck, pickup, hatchback	auto, truck
442	img/tt/1063tt.jpg	img/gs/1063gs.jpg	horse, horses, pony, ponies	pony, ponies, paard, paarden
443	img/tt/1064tt.jpg	img/gs/1064gs.jpg	basball player, baseball, baseball bat, batter	baseball, honkbal, softball, baseballspeler
444	img/tt/1065tt.jpg	img/gs/1065gs.jpg	hotdog	hotdog
445	img/tt/1066tt.jpg	img/gs/1066gs.jpg	bus	bus
446	img/tt/1067tt.jpg	img/gs/1067gs.jpg	giraffe, giraffes	giraf, giraffen
447	img/tt/1068tt.jpg	img/gs/1068gs.jpg	baseball, baseball player, catcher	baseball, honkbal, softball, baseballspeler
448	img/tt/1069tt.jpg	img/gs/1069gs.jpg	sheep, lamb, ram	schaap, schapen, ram, bok
449	img/tt/1070tt.jpg	img/gs/1070gs.jpg	cake, pie, dessert	cake, taart, dessert, gebak
450	img/tt/1071tt.jpg	img/gs/1071gs.jpg	cake, wedding cake, dessert	cake, taart, dessert, gebak, bruidstaart
451	img/tt/1072tt.jpg	img/gs/1072gs.jpg	dog, hound, motorcycle, bike	hond, motor, motorfiets, scooter
452	img/tt/1073tt.jpg	img/gs/1073gs.jpg	train	trein, stoomtrein
453	img/tt/1074tt.jpg	img/gs/1074gs.jpg	baseball, baseball players, baseball game, catcher, batter	baseball, honkbal, softball, baseballspelers
454	img/tt/1075tt.jpg	img/gs/1075gs.jpg	soccer, football, goalie, keeper	voetbal, voetballer, shotten, goal, keeper
455	img/tt/1076tt.jpg	img/gs/1076gs.jpg	elephant, elephants	olifant, olifanten
456	img/tt/1077tt.jpg	img/gs/1077gs.jpg	skateboard, skateboarder	skateboard, skateboarder
457	img/tt/1078tt.jpg	img/gs/1078gs.jpg	skateboard, skateboarder	skateboard, skateboarder
458	img/tt/1079tt.jpg	img/gs/1079gs.jpg	train	trein, stoomtrein, locomotief
459	img/tt/1080tt.jpg	img/gs/1080gs.jpg	sheep, lamb, ram	schaap, schapen, ram
460	img/tt/1081tt.jpg	img/gs/1081gs.jpg	zebra	zebra
461	img/tt/1082tt.jpg	img/gs/1082gs.jpg	cat, pussy, feline, cats, felines	kat, kitten, poes, katten, poezen
462	img/tt/1083tt.jpg	img/gs/1083gs.jpg	rugby, rugby player	rugby, rugbyspeler
463	img/tt/1084tt.jpg	img/gs/1084gs.jpg	cake, pie, dessert	cake, taart, dessert, gebak
464	img/tt/1085tt.jpg	img/gs/1085gs.jpg	plane, airplane, aeroplane	vliegtuig
465	img/tt/1086tt.jpg	img/gs/1086gs.jpg	dog, dogs, hound, hounds	hond, honden, husky
466	img/tt/1087tt.jpg	img/gs/1087gs.jpg	sheep, lamb, black sheep	schaap, schapen, zwart schaap
467	img/tt/1088tt.jpg	img/gs/1088gs.jpg	surfer, surfing, surf, surfboard	surfen, surfer, surfboard
468	img/tt/1089tt.jpg	img/gs/1089gs.jpg	elephant, elephants	olifant, olifanten
469	img/tt/1090tt.jpg	img/gs/1090gs.jpg	cow, cows, bovine, bovines	koe, koeien, rund, runderen
470	img/tt/1091tt.jpg	img/gs/1091gs.jpg	horse	paard
471	img/tt/1092tt.jpg	img/gs/1092gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzlybeer
472	img/tt/1093tt.jpg	img/gs/1093gs.jpg	snowboard, snowboarder	snowboard, snowboarder
473	img/tt/1094tt.jpg	img/gs/1094gs.jpg	plane, airplane, aeroplane, jet, air jet, fighter jet, fighter plane, war plane	vliegtuig, gevechtsvliegtuig, straaljager, F16, oorlogsvliegtuig
474	img/tt/1095tt.jpg	img/gs/1095gs.jpg	zebra, zebras	zebra, zebra's
475	img/tt/1096tt.jpg	img/gs/1096gs.jpg	horse, stable, saddle	paard, stal, zadel
476	img/tt/1097tt.jpg	img/gs/1097gs.jpg	surfer, surfing, surf, surfboard, paddle board, paddle boarding	surfen, surfer, surfboard, paddle boarden, peddelaar
477	img/tt/1098tt.jpg	img/gs/1098gs.jpg	pizza	pizza
478	img/tt/1099tt.jpg	img/gs/1099gs.jpg	hotdog, hotdogs	hotdog, hotdogs, broodje
479	img/tt/1100tt.jpg	img/gs/1100gs.jpg	donut, donuts, sweets, pastries	donut, donuts, koffiekoeken, gebakjes, koekjes, koeken
480	img/tt/1101tt.jpg	img/gs/1101gs.jpg	soccer, football, soccer game, soccer player, football player	voetbal, voetballen, voetbalspeler, keeper
481	img/tt/1102tt.jpg	img/gs/1102gs.jpg	skateboard, skateboarder	skateboard, skateboarder
482	img/tt/1103tt.jpg	img/gs/1103gs.jpg	banana, bananas	banaan, bananen
483	img/tt/1104tt.jpg	img/gs/1104gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzlybeer
484	img/tt/1105tt.jpg	img/gs/1105gs.jpg	hotdog, hotdogs, corn, mashed potatoes	hotdog, hotdogs, mais, aardappelpuree, puree
485	img/tt/1106tt.jpg	img/gs/1106gs.jpg	banana, bananas	banaan, bananen
486	img/tt/1107tt.jpg	img/gs/1107gs.jpg	cat, pussy, feline, kitten, kitty	kat, kitten, poes, poesje
487	img/tt/1108tt.jpg	img/gs/1108gs.jpg	baseball, baseball players, baseball game, catcher, batter	baseball, honkbal, softball, baseballspelers
488	img/tt/1109tt.jpg	img/gs/1109gs.jpg	dog, hound, frisbee, catch, fetch	hond, frisbee, apporteren, apport
489	img/tt/1110tt.jpg	img/gs/1110gs.jpg	train, platform	trein, station, tgv, hogesnelheidstrein
490	img/tt/1111tt.jpg	img/gs/1111gs.jpg	motorcycle, motor, motorbike, bike, motorcycles, motobikes	motor, motors, motorfiets, motorfietsen
491	img/tt/1112tt.jpg	img/gs/1112gs.jpg	giraffe, giraffes	giraf, giraffen
